2025-04-14 19:11:38,322 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Configure stats pid to 19144
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Loading settings from C:\Users\Timur\.config\wandb\settings
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Loading settings from C:\Users\Timur\Cheminformatics\Practice\CTAB-hydrotropes\NNs\Graph NNs\wandb\settings
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2025-04-14 19:11:38,323 INFO    MainThread:19144 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-04-14 19:11:38,324 INFO    MainThread:19144 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\Timur\Cheminformatics\Practice\CTAB-hydrotropes\NNs\Graph NNs\wandb\run-20250414_191138-lofdehj3\logs\debug.log
2025-04-14 19:11:38,324 INFO    MainThread:19144 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\Timur\Cheminformatics\Practice\CTAB-hydrotropes\NNs\Graph NNs\wandb\run-20250414_191138-lofdehj3\logs\debug-internal.log
2025-04-14 19:11:38,324 INFO    MainThread:19144 [wandb_init.py:init():619] calling init triggers
2025-04-14 19:11:38,324 INFO    MainThread:19144 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'architecture': 'GraphConv(17 ->500) -> CELU -> GraphConv(500 -> 500) -> CELU -> global_mean_pool -> Linear(500 -> 500) -> CELU -> Linear(500 -> 2)', 'lr': 0.001, 'n_epochs': 15}
2025-04-14 19:11:38,324 INFO    MainThread:19144 [wandb_init.py:init():644] re-initializing run, found existing run on stack: fc382ug7
2025-04-14 19:11:38,326 INFO    MainThread:19144 [wandb_run.py:_finish():2155] finishing run timyun/CTAB-hydrotopes-graph_NN/fc382ug7
2025-04-14 19:11:38,327 INFO    MainThread:19144 [jupyter.py:save_history():459] not saving jupyter history
2025-04-14 19:11:38,327 INFO    MainThread:19144 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-04-14 19:11:38,327 INFO    MainThread:19144 [wandb_init.py:_jupyter_teardown():461] cleaning up jupyter logic
2025-04-14 19:11:38,327 INFO    MainThread:19144 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2025-04-14 19:11:38,328 INFO    MainThread:19144 [wandb_run.py:_restore():2402] restore
2025-04-14 19:11:38,328 INFO    MainThread:19144 [wandb_run.py:_restore():2408] restore done
2025-04-14 19:11:40,505 INFO    MainThread:19144 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2025-04-14 19:11:40,506 INFO    MainThread:19144 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2025-04-14 19:11:40,516 INFO    MainThread:19144 [wandb_run.py:_footer_sync_info():3921] logging synced files
2025-04-14 19:11:40,523 INFO    MainThread:19144 [wandb_init.py:init():669] starting backend
2025-04-14 19:11:40,523 INFO    MainThread:19144 [wandb_init.py:init():673] sending inform_init request
2025-04-14 19:11:40,527 INFO    MainThread:19144 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-04-14 19:11:40,531 INFO    MainThread:19144 [wandb_init.py:init():686] backend started and connected
2025-04-14 19:11:40,543 INFO    MainThread:19144 [wandb_run.py:_label_probe_notebook():1339] probe notebook
2025-04-14 19:11:40,543 INFO    MainThread:19144 [wandb_run.py:_label_probe_notebook():1349] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-04-14 19:11:40,543 INFO    MainThread:19144 [wandb_init.py:init():781] updated telemetry
2025-04-14 19:11:40,576 INFO    MainThread:19144 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-04-14 19:11:40,976 INFO    MainThread:19144 [wandb_init.py:init():867] starting run threads in backend
2025-04-14 19:11:41,391 INFO    MainThread:19144 [wandb_run.py:_console_start():2456] atexit reg
2025-04-14 19:11:41,391 INFO    MainThread:19144 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-04-14 19:11:41,391 INFO    MainThread:19144 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-04-14 19:11:41,391 INFO    MainThread:19144 [wandb_run.py:_redirect():2395] Redirects installed.
2025-04-14 19:11:41,392 INFO    MainThread:19144 [wandb_init.py:init():911] run started, returning control to user process
